DoubleApril & $157.30 \pm 0.55$ & $115.73 \pm 0.65$ & $36.03 \pm 0.07$ & $26.52 \pm 0.06$ & $21.73 \pm 0.03$ & $19.57 \pm 0.04$ \\
SingleApril & $157.30 \pm 0.55$ & $95.32 \pm 1.63$ & $34.12 \pm 0.09$ & $22.80 \pm 0.40$ & $15.31 \pm 0.07$ & $12.95 \pm 1.35$ \\
DoubleJuly & $133.65 \pm 0.12$ & $75.95 \pm 0.76$ & $25.79 \pm 0.07$ & $18.95 \pm 0.04$ & $15.73 \pm 0.03$ & $14.67 \pm 2.04$ \\
SingleJuly & $133.65 \pm 0.12$ & $49.35 \pm 0.13$ & $17.18 \pm 0.03$ & $11.89 \pm 1.32$ & $8.73 \pm 0.02$ & $7.23 \pm 0.04$ \\
